nomDuFilm,annee,imdb
bones, 2005, https://www.imdb.com/title/tt0460627/
docteur Dolittle, 1998, https://www.imdb.com/title/tt0118998/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_docteur%2520doli
docteur Patch, 1998, https://www.imdb.com/title/tt0129290/?ref_=nv_sr_srsg_0_tt_6_nm_1_q_docteur%2520patch
dr House, 2004, https://www.imdb.com/title/tt0412142/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_dr%2520house
Grey s Anatomy, 2005, https://www.imdb.com/title/tt0413573/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_grey%27s%2520ana
il etait une fois la vie, 1987, https://www.imdb.com/title/tt0284735/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_il%2520%25C3%25A9tait%2520une%2520fois%2520la%2520vie
medecin de campagne, 2016, https://www.imdb.com/title/tt5078326/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_m%25C3%25A9decin%2520de%2520ca
urgences, 1994, https://www.imdb.com/title/tt0108757/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_urgences%2520
scrubs, 2001, https://www.imdb.com/title/tt0285403/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_scrubs
nip tuck, 2003, https://www.imdb.com/title/tt0361217/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_nip%2520tu
private practice, 2007, https://www.imdb.com/title/tt0972412/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_private%2520pract
nurse jackie, 2009, https://www.imdb.com/title/tt1190689/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_nurse%2520jackie
chicago med, 2015, https://www.imdb.com/title/tt4655480/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_chicago%2520med
a young doctor, 2012, https://www.imdb.com/title/tt2164430/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_a%2520young%2520doctor
hippocrate, 2018, https://www.imdb.com/title/tt9350920/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_hippocrat
volNidDeCoucou, 1975, https://www.imdb.com/title/tt0073486/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_vol%2520au%2520dessus%2520d%27un%2520
une vie démente, 2020, https://www.imfdb.com/title/tt13194566/?ref_=ttpl_ov
shutter island, 2010, https://www.imdb.com/title/tt1130884/
horsNorme, 2019, https://www.imdb.com/title/tt8655470/ 
leScaphandreEtLePapillon, 2007, https://www.imdb.com/title/tt0401383/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_scaphandre%2520et%2520le%2520papillon
huitiemeJour, 1996, https://www.imdb.com/title/tt0116581/
spellbound, 1945, https://www.imdb.com/title/tt0038109/
l amour d'une femme, 1953, https://www.imdb.com/title/tt0045505/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_l%27amour%2520d%27une%2520feme
la tribu, 1991, https://www.imdb.com/title/tt0100815/
what the health, 2017, https://www.imdb.com/title/tt5541848/
intouchables, 2011, https://www.imdb.com/title/tt1675434/
nurse, 2013, https://www.imdb.com/title/tt1913166/
the crimoson field, 2014, https://www.imdb.com/title/tt3494220/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_the%2520crimson%2520fie
